time,r_shoulder_elev,r_elbow_flex,rep,phase,fatigue_level,target_elbow_deg,flexion_duration_s,extension_duration_s,perturbation_deg,elbow_velocity_deg_s,elbow_acceleration_deg_s2,elbow_jerk_deg_s3
121.99,20.0,28.151190199314904,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.1811925888082078,-16.153716221542425,-46.172513189199904,-88129.05487248511
122.0,20.0,27.89613435490608,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.06042077162528826,-22.297217539682634,-153.41879070651208,-9991.77387945549
122.01,20.0,27.70524584852125,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.11531124446117573,-19.222092035672667,-246.0079907783097,-12120.6535660785
122.02,20.0,27.511692514192628,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2791323478384795,-27.21737735524883,-395.83186202808207,-859.6808890652937
122.03,20.0,27.160898301416275,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2764334469411212,-27.138729276234308,-263.2016085596156,-20933.671051647892
122.04,20.0,26.968917928667942,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.42324222217551033,-32.48140952644114,-814.5052830610399,-17538.93502268689
122.05,20.0,26.511270110887452,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2950564518147882,-43.42883493745511,-613.9803090133533,46699.747035643835
122.06,20.0,26.10034122991884,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.20424778084803577,-44.76101570670821,119.48965765183672,42694.96210700696
122.07,20.0,25.616049796753288,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.0307262816334771,-41.03904178441837,239.9189331267859,19990.373817119875
122.08,20.0,25.279560394230472,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.004345504990995029,-39.96263704417249,519.2971339942343,10633.526881132839
122.09,20.0,24.816797055869838,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.17503909246603946,-30.653099104533688,452.5894707494427,-33137.842322179975
122.1,20.0,24.6664984121398,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.042604803832962376,-30.910847629183635,-143.45971244936527,-2062.904714915439
122.11,20.0,24.198580103286165,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.2371092604948145,-33.52229335352099,411.3313764511339,33886.390357629636
122.12,20.0,23.99605254506938,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.17551751806950733,-22.684220100160957,534.2680947032275,-5806.251957836571
122.13,20.0,23.744895701282946,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.17181819546248894,-22.836931459456444,295.2063372944025,-21059.18113496186
122.14,20.0,23.53931391588025,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.1317685443286283,-16.780093354272907,113.0844720039903,-30589.24446054023
122.15,20.0,23.409293834197488,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.025336429441305583,-20.57524201937664,-316.57855191640215,6844.162272900967
122.16,20.0,23.127809075492717,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.07949555774235043,-23.11166439260095,249.96771746200963,35990.54354027231
122.17,20.0,22.94706054634547,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.04198506653364229,-15.575887670136446,403.2323188890441,-12312.187781696515
122.18,20.0,22.816291322089988,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.03650545636651833,-15.047018014820068,3.723961828079325,-17934.732153769062
122.19,20.0,22.646120186049068,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.06666961026694729,-15.50140843357486,44.53767581366286,-5507.4106405950115
122.2,20.0,22.50626315341849,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.11830580389700363,-14.156264498546811,-106.42425098382091,-17665.687873286373
122.21,20.0,22.36299489607813,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.1577787786282518,-17.629893453251277,-308.7760816520646,5936.164204238814
122.22,20.0,22.153665284353465,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.12253624864523405,-20.331786131588103,12.29903310095537,9928.526875288222
122.23,20.0,21.95635917344637,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.09076878578582141,-17.38391279123217,-110.20554414630013,-13176.519304616271
122.24,20.0,21.805987028528822,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.09750054304554584,-22.535897014514106,-251.2313529913701,24675.834256910002
122.25,20.0,21.505641233156087,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.05405433860083304,-22.408539851059572,383.3111409918999,24115.31707473191
122.26,20.0,21.35781623150763,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.06127148954750559,-14.869674194676108,231.07498850326812,-14498.200323652454
122.27,20.0,21.208247749262565,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.07827699227332041,-17.78704008099421,93.3471345188508,15821.82348914918
122.28,20.0,21.002075429887746,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.15978464664363723,-13.002731504299092,547.5114582862517,10604.34376006869
122.29,20.0,20.948193119176583,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.09674558696138766,-6.836810915269176,305.4340097202246,-25047.503069919763
122.3,20.0,20.865339211582363,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.07025783722437928,-6.8940513098946,46.56139688785643,-17723.595512045165
122.31,20.0,20.81031209297869,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.023350769956094235,-5.905582977512047,-49.03790052067869,-8241.57575242257
122.32,20.0,20.747227552032122,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.008272403578309748,-7.874809320308174,-118.27011816059496,7258.536387155788
122.33,20.0,20.652815906572528,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.0015318581515949524,-8.270985340723946,96.1328272224371,13005.608345532326
122.34,20.0,20.581807845217643,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.01135709460790487,-5.952152775859432,141.84204875005156,-9430.531325980151
122.35,20.0,20.53377285105534,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.037525461955433354,-5.434144365722915,-92.47779929716593,-10375.628512024003
122.36,20.0,20.473124957903185,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.04466801203529196,-7.80170876180275,-65.67052149042851,11443.71699310609
122.37,20.0,20.377738675819284,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.010885523442919862,-6.747554795531485,136.39654056495587,4488.9178117797355
122.38,20.0,20.338173861992555,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.026973470827383515,-5.073777950503633,24.1078347451662,-5393.302517783028
122.39,20.0,20.27626311680921,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.015009519367006112,-6.265398100628161,28.530490209295323,7437.773096480082
122.4,20.0,20.21286589997999,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.003892260692490903,-4.503168146317726,172.86329667476784,411.6615230596032
122.41,20.0,20.186199753882857,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.008749927714030313,-2.808132167132804,36.76372067048739,-11233.697629743576
122.42,20.0,20.156703256637336,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.013648659954930904,-3.7678937329079787,-51.8106559201037,415.1388573139236
